                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.443,                0.78708,                      1,                 1.4471,             0.00023283,             0.00023283,             0.00023283
                      2,                0.67912,                0.88995,                      1,                 1.2302,             0.00045218,             0.00045218,             0.00045218
                      3,                0.46569,                 0.8756,                      1,                 1.2063,             0.00065269,             0.00065269,             0.00065269
                      4,                0.35994,                0.92823,                      1,                 1.1426,             0.00062918,             0.00062918,             0.00062918
                      5,                0.33424,                0.90909,                      1,                  1.166,             0.00062918,             0.00062918,             0.00062918
                      6,                0.27954,                 0.9378,                      1,                 1.1343,              0.0006009,              0.0006009,              0.0006009
                      7,                0.23962,                0.94258,                      1,                 1.1212,             0.00057263,             0.00057263,             0.00057263
                      8,                0.21337,                0.92823,                      1,                   1.13,             0.00054435,             0.00054435,             0.00054435
                      9,                0.20419,                0.91388,                      1,                 1.1392,             0.00051608,             0.00051608,             0.00051608
                     10,                0.19801,                0.94737,                      1,                 1.1166,              0.0004878,              0.0004878,              0.0004878
                     11,                 0.1721,                0.94976,                      1,                 1.1032,             0.00045953,             0.00045953,             0.00045953
                     12,                0.14129,                0.94258,                      1,                 1.1225,             0.00043126,             0.00043126,             0.00043126
                     13,                 0.1414,                0.93541,                      1,                 1.1225,             0.00040298,             0.00040298,             0.00040298
                     14,                0.15835,                0.96172,                      1,                  1.109,             0.00037471,             0.00037471,             0.00037471
                     15,                0.13606,                0.94498,                      1,                 1.1095,             0.00034643,             0.00034643,             0.00034643
                     16,                0.13322,                0.95455,                      1,                 1.0991,             0.00031816,             0.00031816,             0.00031816
                     17,                0.11916,                0.92344,                      1,                 1.1243,             0.00028988,             0.00028988,             0.00028988
                     18,                0.10775,                0.95455,                      1,                 1.1034,             0.00026161,             0.00026161,             0.00026161
                     19,                0.11428,                0.94737,                      1,                 1.1116,             0.00023334,             0.00023334,             0.00023334
                     20,                0.08902,                0.94498,                      1,                 1.1062,             0.00020506,             0.00020506,             0.00020506
                     21,                0.09963,                0.94498,                      1,                 1.1083,             0.00017679,             0.00017679,             0.00017679
                     22,                0.09447,                0.95933,                      1,                 1.1016,             0.00014851,             0.00014851,             0.00014851
                     23,                0.07531,                0.94258,                      1,                 1.1031,             0.00012024,             0.00012024,             0.00012024
                     24,                0.09138,                0.95215,                      1,                 1.1056,             9.1963e-05,             9.1963e-05,             9.1963e-05
                     25,                0.06919,                0.95215,                      1,                 1.1052,             6.3689e-05,             6.3689e-05,             6.3689e-05
